S.No.,Name,Mar Cap - Crore,Sales Qtr - Crore
1,Reliance Inds.,583436.72,99810
2,TCS,563709.84,30904
3,HDFC Bank,482953.59,20581.27
4,ITC,320985.27,9772.02
5,H D F C,289497.37,16840.51
6,Hind. Unilever,288265.26,8590
7,Maruti Suzuki,263493.81,19283.2
8,Infosys,248320.35,17794
9,O N G C,239981.5,22995.88
10,St Bk of India,232763.33,57014.08
11,ICICI Bank,203802.35,13665.35
12,Kotak Mah. Bank,199253.77,6390.71
13,Coal India,192677.98,21643.28
14,Larsen & Toubro,180860.74,28747.45
15,I O C L,178017.48,110666.93
16,Bharti Airtel,167131.29,20318.6
17,Axis Bank,136380.76,11721.55
18,NTPC,135390.53,20774.37
19,Sun Pharma.Inds.,134241.36,6653.23
20,Hind.Zinc,133266.56,5922
21,Wipro,131840.57,13669
22,HCL Technologies,126335.27,12809
23,Vedanta,122184.17,24361
24,Tata Motors,117071.87,74156.07
25,UltraTech Cem.,113692.87,8019.24
26,Asian Paints,108044.04,4260.52
27,Power Grid Corpn,102016.01,7506.95
28,B P C L,98278,60616.36
29,IndusInd Bank,97379.96,4286.78
30,Bajaj Fin.,94476.77,3540.63
31,Bajaj Auto,88252.6,6369.34
32,M & M,88142.35,11577.78
33,HDFC Stand. Life,87358.23,9734.9
34,Adani Ports,81781.89,2688.85
35,Bajaj Finserv,79795.11,7665.4
36,GAIL (India),78670.97,14414.34
37,Avenue Super.,74066.35,4094.82
38,Titan Company,73886,4274.84
39,JSW Steel,73870.26,17861
40,Grasim Inds,73532.62,15291.42
41,Tata Steel,73376.14,32464.14
42,Eicher Motors,73311.41,2269.01
43,Nestle India,73015.49,2601.46
44,Godrej Consumer,71859.82,2630.3
45,Yes Bank,71028.13,5070.3
46,Hero Motocorp,69448.66,7305.49
47,Motherson Sumi,68590.33,14397.85
48,SBI Life Insuran,67465,9569.97
49,General Insuranc,66316.32,8557.68
50,Dabur India,60015,1966.44
51,Bosch,59204.28,3071.92
52,Shree Cement,58987.08,2296.23
53,New India Assura,58108.48,5074.02
54,H P C L,58034.78,57474.25
55,ICICI Pru Life,57748.98,13555.32
56,Britannia Inds.,56837.2,2567.48
57,Tech Mahindra,56244.26,7775.96
58,Hindalco Inds.,55854.68,11022.81
59,Zee Entertainmen,54817.89,1838.07
60,Cairn India,53528.57,2149.36
61,Indiabulls Hous.,52781.67,3115.89
62,Ambuja Cem.,52361.46,6170.71
63,Interglobe Aviat,48621.37,6177.88
64,Cipla,48577.43,3913.82
65,Piramal Enterp.,47483.97,2858.36
66,United Spirits,46725.05,2263.3
67,Pidilite Inds.,45855.5,1542.9
68,Siemens,44239.04,2429.5
69,Cadila Health.,41876.19,3259.6
70,NMDC,41415.33,2469.03
71,DLF,40159.35,1693.72
72,Marico,39813.84,1337.59
73,Ashok Leyland,39047.57,7113.16
74,Bharat Electron,37776.23,2512.82
75,ICICI Lombard,37219.22,2110.99
76,Lupin,36878.85,3975.62
77,Petronet LNG,36615,7757.06
78,Aditya Birla Cap,36215.92,3325.02
79,Dr Reddy's Labs,35893.55,3834.1
80,Sun TV Network,35824.26,683.28
81,S A I L,35729.04,15323.65
82,UPL,35349.58,4194
83,Oracle Fin.Serv.,34620.19,1059.12
84,Bharat Forge,34397.69,1390.55
85,Biocon,34347,1057.9
86,B H E L,34162.38,6626.35
87,Aurobindo Pharma,33676.52,4336.11
88,Bank of Baroda,33364.23,11303.24
89,Idea Cellular,33047.33,6509.6
90,A B B,31983.33,2779.4
91,Havells India,31798.18,1965.77
92,Container Corpn.,31450.56,1639.55
93,TVS Motor Co.,30919.51,3684.95
94,ACC,30803.68,3494.24
95,Bajaj Holdings,30305.94,317.85
96,P & G Hygiene,30202.12,704.16
97,MRF,30030.01,3798.82
98,Shriram Trans.,29327.64,3087.67
99,L&T Fin.Holdings,28932.43,2630.17
100,Punjab Natl.Bank,28270.22,12175.48
101,NHPC Ltd,28059.24,1497.93
102,Power Fin.Corpn.,27905.66,6194.77
103,United Breweries,27797.69,1197.1
104,Oil India,27404.15,2852.55
105,Rural Elec.Corp.,27382.24,5498.45
106,GlaxoSmith C H L,27340.89,1034.67
107,M & M Fin. Serv.,26928.37,2182.45
108,Divi's Lab.,26915.86,1037.88
109,Kansai Nerolac,26409.76,1145.01
110,Alkem Lab,25957.56,1422.52
111,LIC Housing Fin.,25880.98,3738.1
112,Future Retail,25859.25,4693.39
113,Page Industries,25383.03,621.03
114,Dalmia Bhar.,25288.97,2090.54
115,IIFL Holdings,24788.54,1612.14
116,L & T Infotech,24626.1,1883.8
117,Aditya Bir. Nuv.,24592.21,4287.12
118,Emami,23720.37,756.64
119,Cummins India,23562,1354.67
120,Berger Paints,23537.8,1338.63
121,Rajesh Exports,23495.54,41304.84
122,Tata Power Co.,23369.24,6949.91
123,3M India,23101.19,645.77
124,Jindal Steel,23094.39,6992.56
125,Edelweiss.Fin.,22915.42,2069.45
126,Gillette India,21976.74,407.52
127,Adani Enterp.,21776.04,9938.37
128,Adani Transmissi,21677.26,1782.29
129,Balkrishna Inds,21372.18,1106.31
130,Cholaman.Inv.&Fn,20832.4,1404.33
131,Indraprastha Gas,20779.52,1183.9
132,M R P L,20750.78,14100.98
133,Glaxosmi. Pharma,20489.35,703.91
134,PNB Housing,20037.85,1438.49
135,RBL Bank,19748.79,1150.79
136,Castrol India,18803.22,970.3
137,Canara Bank,18590.66,10774.64
138,GRUH Finance,18535.09,428.47
139,KIOCL,18534.15,442.81
140,Voltas,18453.44,1374.67
141,Godrej Inds.,18298.09,2458.48
142,Whirlpool India,18254.06,958.01
143,Sundaram Finance,18159.85,677.23
144,Federal Bank,18086.81,2501.2
145,Tata Comm,17963.55,4114.63
146,Tata Chemicals,17941.47,2573.91
147,Exide Inds.,17930.75,2276.54
148,IDFC Bank,17762.77,2283.72
149,NBCC,17712,1321.5
150,IDBI Bank,17559.35,5797.2
151,The Ramco Cement,17246.58,1056.36
152,Dewan Hsg. Fin.,17097.54,2631.6
153,MphasiS,16728.78,1660.69
154,Apollo Hospitals,16683.97,1896.14
155,Reliance Nip.Lif,16655.58,394
156,Tata Global,16589.24,1730.39
157,Godrej Propert.,16545.51,627.03
158,AU Small Finance,16453.67,464.17
159,Indian Hotels,16150.13,1197.26
160,Motil.Oswal.Fin.,16108.15,728.63
161,H U D C O,16065.25,1064.49
162,Oberoi Realty,16044.51,356.2
163,Indian Bank,15739.16,4354.22
164,SJVN,15512.35,436.58
165,Bank of India,15339.87,9334.84
166,Supreme Inds.,15248.94,1278.3
167,Muthoot Finance,15226.72,1553.71
168,NLC India,15201.61,1706.48
169,Glenmark Pharma.,14785.53,2203.67
170,Jubilant Life,14775.08,2067.76
171,Crompton Gr. Con,14638.57,938.19
172,Honeywell Auto,14526.24,721.48
173,Natco Pharma,14456.9,562.2
174,PC Jeweller,14334.81,2644.89
175,Quess Corp,14330.19,1583.95
176,CRISIL,14164.81,441.13
177,WABCO India,13843.64,649.91
178,Amara Raja Batt.,13774.32,1553.46
179,Sterlite Tech.,13743.95,835.18
180,AIA Engg.,13593.35,572.16
181,KRBL,13492.55,783.51
182,Indiabulls Vent.,13396.15,238.43
183,Century Textiles,13369.97,2069.39
184,Jubilant Food.,13178.43,795.17
185,Bayer Crop Sci.,13166.76,479.7
186,Graphite India,13129.9,933.06
187,JSW Energy,13104,1993.2
188,Central Bank,13046.18,6026.55
189,CESC,12996.56,1706
190,Shri.City Union.,12995.31,1338.09
191,L&T Technology,12942.25,969.1
192,Rain Industries,12655.17,3050.81
193,Torrent Power,12599.37,2754.64
194,Dilip Buildcon,12526.06,1942.12
195,TI Financial,12507.91,886.68
196,JM Financial,12382.64,837.73
197,Adani Power,12091.5,4844.46
198,Reliance Power,12033.99,2494.65
199,Reliance Capital,11966.83,4749
200,Syngene Intl.,11950,387.7
201,Abbott India,11924.12,881.49
202,Hatsun AgroProd.,11896.52,1012.94
203,Symphony,11882.55,217.63
204,Gujarat Gas,11759.77,1571.33
205,Reliance Infra.,11737.24,5861.04
206,Aditya Bir. Fas.,11718.17,1855
207,Ajanta Pharma,11651.8,587.05
208,P I Inds.,11564.22,537.74
209,City Union Bank,11554.4,865.36
210,Varun Beverages,11498.3,329.92
211,Mindtree,11438.78,1377.7
212,Prestige Estates,11353.13,1272.3
213,Future Consumer,11203.15,784.05
214,Sundram Fasten.,11202.53,848.13
215,Sanofi India,11182.45,667.5
216,Guj.St.Petronet,11064.74,350.18
217,Godrej Agrovet,10918.75,865.77
218,Finolex Cables,10900.75,656.78
219,SRF,10842.62,1397.06
220,GE T&D India,10778.42,1438.55
221,Alembic Pharma,10764.29,840.02
222,SPARC,10755.13,19.42
223,GMR Infra.,10653.44,2072.29
224,HEG,10630.76,842.71
225,Trent,10589.27,521.32
226,Engineers India,10565.56,473.42
227,Avanti Feeds,10558.13,706.43
228,Pfizer,10508.48,456.54
229,Escorts,10450.56,1205.03
230,Tata Motors-DVR,10442.09,7769.67
231,Blue Dart Exp.,10422.45,704.59
232,Indbull.RealEst.,10338.4,2100.13
233,ERIS Lifescience,10289.81,182.21
234,Arvind Ltd,10247.7,2705.75
235,Hexaware Tech.,9885.05,1004.83
236,SKF India,9569.14,700.49
237,Delta Corp,9531.57,162.17
238,Union Bank (I),9528.82,8260.47
239,TV18 Broadcast,9463.27,271.13
240,Minda Inds.,9457.04,1056.16
241,Solar Inds.,9317.76,465.68
242,Kajaria Ceramics,9306.54,661.16
243,Astral Poly,9162.14,528.54
244,Bata India,9145.38,674
245,Phoenix Mills,9097.33,416.61
246,BASF India,8778.35,1278.74
247,DCM Shriram,8681.95,1783.73
248,Infibeam Incorp.,8646.54,213.48
249,Aegis Logistics,8613.86,1442.08
250,Jet Airways,8539.88,6086.2
251,SpiceJet,8458.24,2081.95
252,Thomas Cook (I),8440.65,3005.45
253,Guj Fluorochem,8439.77,968.97
254,Wockhardt,8428.58,1005.3
255,Akzo Nobel,8389.47,711.99
256,I D F C,8380.86,2789.58
257,Security & Intel,8247.08,1537.72
258,Asahi India Glas,8183.96,640.38
259,TTK Prestige,8153.33,457.97
260,ITI,8124.6,250.97
261,Karur Vysya Bank,8065.7,1422.32
262,Vardhman Textile,8023.74,1647.98
263,Fortis Health.,7966.43,1156.61
264,Ipca Labs.,7943.03,859.21
265,Sheela Foam,7815.74,532.21
266,IRB Infra.Devl.,7812.73,1296.19
267,Atul,7789.01,803.68
268,Finolex Inds.,7784.17,722.72
269,Dish TV,7765.91,740.77
270,Rel. Comm.,7702.01,1144
271,Dr Lal Pathlabs,7550.78,262.7
272,OCL India,7453.05,859.24
273,NCC,7439.01,2780.26
274,Relaxo Footwear,7251.91,457.5
275,J K Cements,7230.76,1126.11
276,G N F C,7208.38,1590.89
277,Cochin Shipyard,7154.99,615.04
278,Birla Corpn.,7137.67,1389.32
279,Future Lifestyle,7009.13,1188.97
280,Century Ply.,6966.23,509.93
281,Blue Star,6952.99,981.3
282,Kalpataru Power,6950.23,1417.37
283,Suzlon Energy,6942.31,1193.06
284,Cyient,6921.97,983.3
285,Hind.Copper,6902.14,440.14
286,Guj Pipavav Port,6864.85,162.68
287,Carborundum Uni.,6838.18,611.59
288,Can Fin Homes,6811.5,392.1
289,Sadbhav Engg.,6795.06,2153.34
290,Advanta,6742.41,361.68
291,Capital First,6710.63,987.64
292,Lak. Mach. Works,6654.81,542.42
293,Himadri Specialt,6646.41,500.08
294,Coffee Day Enter,6601.62,965.3
295,PVR,6591.31,557.25
296,Chambal Fert.,6542.79,2330.1
297,Vijaya Bank,6531.58,3135.23
298,Welspun India,6520.67,1397.95
299,CEAT,6476.26,1574.15
300,Strides Shasun,6469.51,749.04
301,Narayana Hrudaya,6379.12,553.84
302,Jyothy Lab.,6324.62,431.21
303,Johnson Con. Hit,6209.11,377.4
304,Tata Elxsi,6153.54,345.54
305,Syndicate Bank,6086.37,5375.57
306,D B Corp,6059.97,598.58
307,Jain Irrigation,6019.89,1889.63
308,Persistent Sys,5996.4,791.89
309,Redington India,5896.54,11728.4
310,Sunteck Realty,5865.04,201.5
311,Raymond,5863.1,1484.24
312,MOIL,5840.29,299.8
313,Bombay Dyeing,5823.25,619.93
314,GE Shipping Co,5802.66,584.42
315,Grindwell Norton,5706.51,365.42
316,EID Parry,5652.33,3557.94
317,I O B,5591.02,4254.68
318,Galaxy Surfact.,5567.11,826.95
319,Laurus Labs,5502.94,473.77
320,Guj Alkalies,5498.45,617.61
321,Timken India,5495.76,278.58
322,C P C L,5427.82,8587.17
323,Dishman Carbogen,5416.39,459.82
324,St Bk of Bikaner,5402.95,2262.28
325,IFB Inds.,5293.53,531.74
326,eClerx Services,5259.14,339.89
327,Sobha,5224.11,691.9
328,Kirloskar Oil,5207.77,684.61
329,G S F C,5200.13,1537.45
330,CG Power & Indu.,5151.85,1516.08
331,Westlife Develop,5145.88,305.19
332,K P R Mill Ltd,5145.36,714.51
333,Tube Investments,5139.43,1274.21
334,Bajaj Electrical,5127.38,1145.13
335,VST Inds.,5109.25,238.97
336,BEML Ltd,5089.87,731.51
337,FDC,5084.19,248.77
338,DCB Bank,5080.5,610.78
339,Star Cement,5072.67,377.43
340,Netwrk.18 Media,5067.23,366.02
341,Gulf Oil Lubric.,5020.44,355.95
342,UCO Bank,5012.59,3449.55
343,Jagran Prakashan,4995.05,598.07
344,Elgi Equipment,4954.08,415.42
345,JK Lakshmi Cem.,4931.55,837.41
346,Zydus Wellness,4921.45,132.4
347,Equitas Holdings,4886.09,429.86
348,India Cements,4885.75,1213.08
349,Dishman Pharma.,4861.2,534.22
350,South Ind.Bank,4856.71,1576.96
351,Polaris Consulta,4830.44,680.07
352,V I P Inds.,4819.63,337.99
353,APL Apollo,4775.03,1314.38
354,Sadbhav Infra.,4735.67,624.37
355,Jindal Stain.,4726.91,2988.86
356,NIIT Tech.,4658.2,756.5
357,Caplin Point Lab,4600.73,141.61
358,Indian Energy Ex,4595.7,64.75
359,Godfrey Phillips,4512.29,581.94
360,Jindal Stain .Hi,4498.09,2438.58
361,R C F,4493.52,1985.06
362,Rallis India,4493.2,390.16
363,G M D C,4456.77,506.06
364,Manpasand Bever.,4406.8,143.13
365,Tata Inv.Corpn.,4401.66,47.02
366,Essel Propack,4371.24,595.05
367,Allcargo Logist.,4369.69,1479.91
368,Radico Khaitan,4358.48,482.52
369,Cera Sanitary.,4356.9,290.88
370,Forbes & Co,4331.82,63.93
371,S B T,4328.47,2365.94
372,KNR Construct.,4325.39,433.19
373,PNC Infratech,4307.29,472.48
374,Greenply Inds.,4295.02,399.29
375,Monsanto India,4291.43,183.74
376,Vinati Organics,4279.07,185.65
377,Lux Industries,4269.78,297.43
378,Ratnamani Metals,4194.31,535.6
379,Cox & Kings,4179.29,1356.07
380,Omaxe,4168.29,506.82
381,Ashoka Buildcon,4166.87,729.22
382,Time Technoplast,4156.58,754.7
383,Phillips Carbon,4149.67,612.4
384,Allahabad Bank,4137.11,4243.83
385,Welspun Corp,4103.05,2304.16
386,NESCO,4093.02,80.62
387,CARE Ratings,4090.69,74.82
388,Andhra Bank,4067.25,4549.26
389,Zensar Tech.,4066.42,793.76
390,S H Kelkar & Co.,4057.34,283.12
391,Mahindra Holiday,4030.35,267.54
392,Sintex Plastics,4022.02,1332.73
393,SREI Infra. Fin.,4009.63,1405.19
394,Techno Elec.,3975.44,275.64
395,Minda Corp,3974.83,636.2
396,KPIT Tech.,3927.26,912.77
397,Triveni Turbine,3910.17,165.59
398,Shankara Build.,3901.07,624.62
399,Multi Comm. Exc.,3847.19,60.97
400,Brigade Enterpr.,3846.15,423.91
401,Magma Fincorp,3826.83,580.58
402,VRL Logistics,3824.69,489.34
403,ICRA,3809,82.87
404,Shriram Pistons,3804.58,430.8
405,IFCI,3789.45,626.8
406,Suprajit Engg.,3777.26,366.29
407,J & K Bank,3775.5,1682.97
408,Navin Fluo.Intl.,3769.26,221.45
409,Karnataka Bank,3765.74,1332.24
410,Shilpa Medicare,3764.1,185.53
411,Kushal,3761.86,578.18
412,Venky's (India),3760.61,695.85
413,CCL Products,3748.73,273.99
414,Excel Crop Care,3734.06,258.65
415,Trident,3722.6,1137.17
416,Corporation Bank,3716.46,4387.85
417,Rane Holdings,3711.8,593.74
418,Team Lease Serv.,3677.34,918.06
419,Oriental Bank,3674.6,4262.08
420,I T D C,3619.04,102.14
421,S C I,3582,879.56
422,JK Tyre & Indust,3577.98,2123.24
423,Deepak Nitrite,3531.9,371.14
424,Heidelberg Cem.,3531.77,491.23
425,Sharda Cropchem,3528.07,325.46
426,Dixon Technolog.,3526.8,677.8
427,Himatsing. Seide,3511.08,595.61
428,La Opala RG,3510.93,69.77
429,H F C L,3482.71,714.42
430,Reliance Home,3470.6,403
431,Rupa & Co,3460.91,277.96
432,Ent.Network,3380.99,148.42
433,Supreme Petroch.,3377.57,725.02
434,MAS FINANC SER,3376.2,112.05
435,Thyrocare Tech.,3374.38,77.84
436,Prakash Inds.,3336.05,725.97
437,Repco Home Fin,3331.08,277.48
438,Sonata Software,3329.58,766.75
439,Central Dep. Ser,3316.31,47.24
440,Puravankara,3274.9,440.09
441,Tejas Networks,3209.89,229.87
442,ITD Cem,3192.67,472.98
443,Hathway Cable,3189.1,138.65
444,Dhanuka Agritech,3188.62,221.51
445,Mahindra Logis.,3187.51,835.06
446,Heritage Foods,3185.45,581.74
447,Mah. Seamless,3164.73,563.66
448,Navneet Educat.,3148.36,174.41
449,Firstsour.Solu.,3139.94,887.24
450,Kaveri Seed Co.,3125.83,70.64
451,Star Ferro Cem.,3115.98,393.49
452,Deepak Fert.,3079.06,1644.92
453,Va Tech Wabag,3041.93,460.89
454,Prime Focus,3031.5,609.61
455,Lak. Vilas Bank,3029.57,790.17
456,NOCIL,3026.26,249.27
457,Orient Cement,3024.32,511.53
458,Natl.Fertilizer,3017.07,2840.75
